,City,Country,Lat,Lon,Max Temp(F),Humidity(%),Wind Speed(mph),Cloudiness(%),Date
0,Severo-Yeniseyskiy,RU,60.37,93.04,15.71,70,4.72,64,Feb 26 2019
1,Touros,BR,-5.2,-35.46,78.8,94,3.36,40,Feb 26 2019
2,Kodiak,US,39.95,-94.76,33.01,92,9.17,90,Feb 26 2019
3,Bredasdorp,ZA,-34.53,20.04,60.8,67,8.05,92,Feb 26 2019
4,Jamestown,AU,-33.21,138.6,84.11,65,7.25,0,Feb 26 2019
5,Albany,US,42.65,-73.75,19.0,61,16.11,1,Feb 26 2019
6,Dongsheng,CN,29.72,112.52,42.48,100,12.55,92,Feb 26 2019
7,Bubaque,GW,11.28,-15.83,77.4,98,15.12,0,Feb 26 2019
8,Jinchang,CN,38.52,102.19,25.02,78,2.55,56,Feb 26 2019
9,Tiksi,RU,71.64,128.87,-9.77,67,3.27,0,Feb 26 2019
10,Bage,NG,10.95,11.38,66.96,49,5.28,0,Feb 26 2019
11,Airai,TL,-8.93,125.41,79.29,79,1.1,36,Feb 26 2019
12,Castro,CL,-42.48,-73.76,53.37,88,7.25,0,Feb 26 2019
13,Hobart,AU,-42.88,147.33,70.0,42,13.87,20,Feb 26 2019
14,Yellowknife,CA,62.45,-114.38,15.8,85,12.75,20,Feb 26 2019
15,Busselton,AU,-33.64,115.35,90.0,22,13.06,36,Feb 26 2019
16,Punta Arenas,CL,-53.16,-70.91,46.4,61,20.8,0,Feb 26 2019
17,Torbay,CA,47.66,-52.73,19.99,79,32.21,90,Feb 26 2019
18,Santa Rita,VE,10.21,-67.56,66.15,100,2.59,76,Feb 26 2019
19,Atuona,PF,-9.8,-139.03,81.09,100,7.29,12,Feb 26 2019
20,Yulara,AU,-25.24,130.99,100.4,9,12.75,0,Feb 26 2019
21,Kapaa,US,22.08,-159.32,77.0,56,21.92,20,Feb 26 2019
22,Ponta do Sol,BR,-20.63,-46.0,68.81,92,1.59,8,Feb 26 2019
23,Hermanus,ZA,-34.42,19.24,53.37,85,2.89,80,Feb 26 2019
24,Savalou,BJ,7.93,1.98,74.79,89,5.57,0,Feb 26 2019
